,model,dataset,avg_mae,std_mae,avg_rmse,std_rmse,avg_smape,std_smape
0,ARIMA,beijing-airquality,0.04771730095055588,0.06158100952968589,0.059777454382632954,0.04994583814975676,0.3217661165094215,0.1709323844969811
1,ARIMA,lightsource,0.124814725015764,0.1247654105507778,0.16660812568760874,0.058196698407442994,0.5696696880773133,0.12214997538761566
2,ARIMA,pv-italy,0.12285940772413038,0.12410238501828398,0.16771947038107002,0.048641703184036336,0.6450218128298624,0.11442810499742759
3,ARIMA,wind-nrel,0.2297266050211289,0.19948866919689906,0.2804343070378165,0.11801119281111962,0.3785699230608614,0.20567937041743953
4,Attention-LSTM,beijing-airquality,0.0754833590020528,0.08019121993627429,0.08824051410913859,0.06600729010305847,0.41549710517190186,0.2241189421671233
5,Attention-LSTM,lightsource,0.09065282602376712,0.128479146381707,0.13980426009702804,0.07196940169120504,0.48852491731725983,0.13251947896296398
6,Attention-LSTM,pems-sf-weather,0.0250768828221068,0.03578423320834369,0.03902945070476747,0.01964849551662742,0.26013264012423415,0.12819211706469874
7,Attention-LSTM,pv-italy,0.05858202135219839,0.10061322169172328,0.10640699762000076,0.04724853926201781,0.48893764743962587,0.1350234410531654
8,Attention-LSTM,wind-nrel,0.26620382700088174,0.24832169421155714,0.3201062428466594,0.17337858753781854,0.42052884461297585,0.21155272637019104
9,Bi-LSTM,beijing-airquality,0.1007225542413279,0.0881397434254578,0.11181486431445244,0.07356547451229942,0.5588736847088928,0.2790273518316103
10,Bi-LSTM,lightsource,0.08336947087410443,0.11190670409247497,0.12876849178653363,0.05377968592033908,0.4703783181393606,0.13818361985623925
11,Bi-LSTM,pems-sf-weather,0.028206857139616643,0.03482049430113058,0.04181366904695075,0.016115541998390336,0.27524891299600174,0.13307518861484108
12,Bi-LSTM,pv-italy,0.06257026072102073,0.10576548306436784,0.10989112825424212,0.055002862339566416,0.5072155481565384,0.14794724059912076
13,Bi-LSTM,wind-nrel,0.27052398620343554,0.2597472291512735,0.3248655069216795,0.18738797340192612,0.41811006623257996,0.22193622112146685
14,CNN-LSTM,beijing-airquality,0.04902237783145624,0.05452032849059259,0.058702788288942445,0.043960488476006324,0.3372010243979958,0.1614973836759424
15,CNN-LSTM,lightsource,0.11328146658207708,0.1275592746398627,0.15821029778223747,0.06382445372496266,0.5140972343320414,0.19917363479434758
16,CNN-LSTM,pems-sf-weather,0.02948100801460229,0.035409979927973435,0.043618352083445416,0.014847082999064806,0.28786882934958413,0.1575782596383981
17,CNN-LSTM,pv-italy,0.09318665554614863,0.12332273144755859,0.14173619369432297,0.06166928133689072,0.5394272189976632,0.16520114139463296
18,CNN-LSTM,wind-nrel,0.24079901056561642,0.2393750041820079,0.2964234098439117,0.16558296474282783,0.4116922691954006,0.2130538220909842
19,GAP-LSTM-Default,beijing-airquality,0.036554876970224505,0.042135772996715996,0.04561177427440796,0.03176004619252116,0.2881120246658604,0.16430718445609965
20,GAP-LSTM-Default,lightsource,0.10838226824143692,0.12273272274462631,0.15698479787681266,0.046538269596584504,0.5277819690518492,0.1716107077784364
21,GAP-LSTM-Default,pems-sf-weather,0.027202687727993127,0.03499553555301177,0.04089358801254793,0.01709936220239851,0.28105278888975477,0.1616791056645764
22,GAP-LSTM-Default,pv-italy,0.058875997238863595,0.09337841246139143,0.10244825899974937,0.04111283488888468,0.5036818883064332,0.13823550847897947
23,GAP-LSTM-Default,wind-nrel,0.2269671798430365,0.20493054207728398,0.2762495813324923,0.13113655712887043,0.3879024934036194,0.21024261320393642
24,GAP-LSTM-Weighted,beijing-airquality,0.03868387976988204,0.051891736696618805,0.049358168779782136,0.041898945693196944,0.29114899970244545,0.1592441559553236
25,GAP-LSTM-Weighted,lightsource,0.07625578423955723,0.10417438726840582,0.12126123109769156,0.044305320509053205,0.4530843820344069,0.14886649265764723
26,GAP-LSTM-Weighted,pems-sf-weather,0.025094488029048147,0.035344399066978345,0.03866104009190566,0.01960315928257289,0.26396765049525545,0.14477629000554046
27,GAP-LSTM-Weighted,pv-italy,0.09156444433625932,0.12192387855076907,0.14060701924192862,0.058984284071017974,0.5370587646616649,0.16226928474943744
28,GAP-LSTM-Weighted,wind-nrel,0.27592189158584474,0.23981638228033067,0.32342523251871497,0.17041392676818257,0.41812015152902354,0.20065263601685956
29,GCN-LSTM,beijing-airquality,0.05030468637466449,0.05676836253426587,0.06025892681798911,0.0460996352450132,0.36278113883105106,0.1391668586851779
30,GCN-LSTM,lightsource,0.10996948678072573,0.1345145296593311,0.15605048923976153,0.07639169798033256,0.5333928582791579,0.12739058933255787
31,GCN-LSTM,pems-sf-weather,0.03356290599929369,0.03581869574023404,0.046009127190632264,0.017105783782250594,0.33058002287826044,0.1620386470598803
32,GCN-LSTM,pv-italy,0.09247471180453265,0.11219145061395774,0.13736222987814664,0.04764568938633055,0.5701788730030107,0.1251826478866304
33,GCN-LSTM,wind-nrel,0.3387196008186176,0.25959546530455596,0.3834337278150027,0.18734820511364128,0.5223701412009789,0.13569288127076864
34,GRU,beijing-airquality,0.06844609979905107,0.058054841884788766,0.0779215524548857,0.04467159384905931,0.43435330393315996,0.2579290526889351
35,GRU,lightsource,0.08112532363596031,0.11101881169493495,0.1272476485203211,0.052101157676615446,0.47026428089928385,0.1401457758656407
36,GRU,pems-sf-weather,0.026082616625328927,0.03504994891244776,0.03924261244527728,0.019204665507601307,0.2693345393696388,0.14308189199274038
37,GRU,pv-italy,0.12325061837283624,0.13874830517596873,0.17046707837608563,0.07336744719841184,0.6608118836267041,0.10242522951356266
38,GRU,wind-nrel,0.2791611463850982,0.24154858457726266,0.33285267197071156,0.15964261061596033,0.4161803561403417,0.24425030379844956
39,LSTM,beijing-airquality,0.0743965777878768,0.07591067489319689,0.08426507161259605,0.064838735620788,0.46978029710207786,0.24692160976913186
